id,song,location_name,location_name_en,region,region_en,location_y,location_x,song_en,album,Singer,singer_en,songwriter,song_writer_en,year,lyrics,lyrics_en
21,他約我去迪士尼,香港迪士尼,Hong Kong Disneyland,香港,Hong Kong,22.312765944959700,114.04135802736800,He Asked Me to Go to Disney,香港迪士尼乐园开幕纪念大碟,陳曉琪,Kellyjackie,"許願庭, 海藍, 陳曉琪","Hui Yuen Ting, Hoi Lam, Kellyjackie",2005,畢生也願記起 香港迪士尼 煙火璀璨夜晚定會很美,"A lifetime I’d cherish the memory, Of Hong Kong’s Disneyland and its beauty. The fireworks glowing through the night, A scene forever dazzling and bright."
22,喜帖街,喜帖街,Lee Tung Street,香港,Hong Kong,22.27556419523190,114.17235022565600,Wedding Invitation Street,Binary,謝安琪,Kay Tse,"黃偉文, 郭偉亮","Wyman Wong, Eric Kwok",2008,就似這一區 曾經稱得上 美滿甲天下 但霎眼 全街的單位 快要住滿烏鴉,"This place once famed for joy, now crows fill Wedding Card Street."
23,北京道落雪了,丹桂路,Osmanthus Rd,香港,Hong Kong,22.329364806662700,114.173321396821,Snow Falls on Peking Road,北京道落雪了,林二汶,Eman Lam,"周耀輝, 荒井壯一郎","Chow Yiu Fai, Arai Soichiro",2013,枯樹正望向柏道 膠袋正飄向丹桂路 好像我邁向某段虔誠中,"A withered tree stares at Park Road still, A plastic bag drifts to Osmanthus Hill. As if I’m moving with a quiet, faithful will."
24,北京道落雪了,柏道,Park Road,香港,Hong Kong,22.283770005541200,114.14415326768000,Snow Falls on Peking Road,北京道落雪了,林二汶,Eman Lam,"周耀輝, 荒井壯一郎","Chow Yiu Fai, Arai Soichiro",2013,枯樹正望向柏道 膠袋正飄向丹桂路 好像我邁向某段虔誠中,"A withered tree stares at Park Road still, A plastic bag drifts to Osmanthus Hill. As if I’m moving with a quiet, faithful will."
25,北京道落雪了,北京道,Peking Rd,香港,Hong Kong,22.296297853003500,114.17063159682,Snow Falls on Peking Road,北京道落雪了,林二汶,Eman Lam,"周耀輝, 荒井壯一郎","Chow Yiu Fai, Arai Soichiro",2013,我佔領某國度 乘著玻璃冰凍 忽然初雪落北京道,"Through a realm of frozen glass I roam, till sudden snow falls on Peking Road."
26,眼紅館,紅磡體育館,Hong Kong Coliseum,香港,Hong Kong,22.301254392540200,114.182024719165,Red-Eyed Coliseum,男生围,關智斌,Kenny Kwan,"周耀輝, 林健華","Chow Yiu Fai, Joanus Lam",2007,我信你也紅著眼 寂寞便在紅館中一起呼喊,"I believe your eyes are red like mine, \n in the Coliseum we shout our loneliness as one."
27,偉業街,偉業街,Wai Yip St,香港,Hong Kong,22.313818005118300,114.21758412565700,Wai Yip Street,Single,胡鴻鈞,Hubert Wu,"范浩賢, 胡鴻鈞, 蘇道哲","Neal Fan, Hubert Wu / Sotoc",2018,若我等共鳴人還可有誰 就唱一句衝得過捱下去很乾脆,"If there’s still a soul who feels the same, I’ll sing one line, to fight, endure, and face it unafraid. (Wai Yip refers to great achievement, glorious work in Cantonese)"
28,Victoria,天星小輪,Star Ferry,香港,Hong Kong,22.29396653135640,114.1684757357360,Victoria,Single,鄧紫棋,Gloria Tang,"鄧紫棋, 王祖藍, 陳國濱, 林洛民","G.E.M., Wong Cho-lam, Chan Kwok Pan, Lam Lok Man",2017,誰曾離別天星下再相聚 你共我已成長幾歲,"Who once departed at the Star Ferry’s Pier, Now we meet again, though time has brought us here."
29,Victoria,維多利亞港,Victoria Harbour,香港,Hong Kong,22.289672125415300,114.1715204600140,Victoria,Single,鄧紫棋,Gloria Tang,"鄧紫棋, 王祖藍, 陳國濱, 林洛民","G.E.M., Wong Cho Lam, Chan Kwok Pan, Lam Lok Man",2017,無論幾多次迷路不怕 沿著港灣會望見煙花,"No matter how many times we lose our way, fear not;  the harbour will always lead us to the fireworks. "
30,黃金時代,黃金廣場,Goldmark,香港,Hong Kong,22.27988664847210,114.1842968361060,Golden Age,我的快乐时代,陳奕迅,Eason Chan,"林夕, 柳重言","Albert Leung, Jim Lau",2011,黃金廣場內分手 在時代門外再聚,"We parted in the Goldmark, And reunited outside Times Square."
31,中環,中環站,Central Station,香港,Hong Kong,22.281980455168300,114.15768554708200,Central,阿田,側田,Justin Lo,"林若寧, 陳台証","Riley Lam, Taz Tan",2014,地鐵口 只好看人潮走 路要走 即使愛情失救,"By the metro exit, I watch the crowd flow, The path must go on, though love won’t grow."
32,老派約會之必要,赤柱,Stanley,香港,Hong Kong,22.218643833184600,114.21238060438000,The Necessity of Old-School Dating,This is MC,MC張天賦,MC Cheung Tinfu,"黃偉文, GooChan, MC 張天賦","Wyman Wong, GooChan, MC Cheung Tinfu",2022,怎知道霎眼 就談到 赤柱了 錯過了 你我的家,"Who knew, in a blink, our talk would steer, And take us to Stanley, nowhere near. We passed your home, and missed out on mine, Two hearts converging, now aligned."
33,流淚行勝利道,勝利道,Victory Ave,香港,Hong Kong,22.31908525460680,114.17465656798500,Walking Victory Road in Tears,新天地,許志安,Andy Hui,"周耀輝, 黃思律","Chow Yiu Fai, Larry Wong",2014,我站在勝利道 方知輸了更好,"Standing on Victory Avenue,  I realized that losing leads to a grander avenue."
34,今年沒聖誕,蘭桂坊,Lan Kwai Fong,香港,Hong Kong,22.28097824638090,114.15566879311500,No Christmas This Year,Life In Music,許志安,Andy Hui,"黃偉文, 柳重言","Wyman Wong, Jim Lau",2005,蘭桂坊有雪嗎 何以今晚約她 平平安安進酒吧,"Is there snow in Lan Kwai Fong tonight? Why did I ask her out, just to drink in quiet light?"
35,櫻花樹下,置地廣場,Landmark,香港,Hong Kong,22.281186379700500,114.15782009682000,Under the Cherry Blossom Tree,Urban Emotions,張敬軒,Hins Cheung,"林若寧, 伍卓賢","Riley Lam, Ng Cheuk Yin",2011,如有天置地門外 乘電車跨過大海,"Should you stand outside the Landmark one day,  let the tram carry you across the ocean’s embrace. "
36,我是羊,太古城,Taikoo Shing,香港,Hong Kong,22.286774695445400,114.21739720780300,I Am a Sheep,Miriam's Music Box,楊千嬅,Miriam Yeung,"於逸堯, 黃丹兒","Yu Yat Yiu, Dennie Wong",2009,你住波士頓近 我住太古城 我在課室用功 你還未蘇醒,"You live by Boston, I by Taikoo Shing. I’m studying in class, while you’re still in dreams."
37,火星原居民,小西灣,Siu Sai Wan,香港,Hong Kong,22.26288353043050,114.24941717960400,Martian Native,Fiona Fung,馮曦妤,A Little Love,"馮曦妤, 陳光榮","Fiona Fung, Punk Chan",2008,樂富筲箕灣 再去小西灣 咁橋 會遇上 番返去尖沙咀也要 碰上,"From Lok Fu to Shau Kei Wan, and further still to Siu Sai Wan. By chance we meet along the way, even in Tsim Sha Tsui, fate makes us collid"
38,當荃灣愛上柴灣,荃灣站,Tsuen Wan Station,香港,Hong Kong,22.37367109058160,114.11769057965600,When Tsuen Wan Falls in Love with Chai Wan,Single,陳奕迅,Eason Chan,"陳少琪, Swing, 郭偉亮","Keith Chan/Swing, Eric Kwok",1999,由荃灣直入柴灣終站坐冷板 深深慨嘆能力只會能應付太子站,"From Lok Fu to Shau Kei Wan, and further still to Siu Sai Wan. By chance we meet along the way, even in Tsim Sha Tsui, fate makes us collide."
39,當荃灣愛上柴灣,太子站,Prince Edward Station,香港,Hong Kong,22.32506979228520,114.16837463306700,When Tsuen Wan Falls in Love with Chai Wan,Single,陳奕迅,Eason Chan,"陳少琪, Swing, 郭偉亮","Keith Chan/Swing, Eric Kwok",1999,由荃灣直入柴灣終站坐冷板 深深慨嘆能力只會能應付太子站,"From Lok Fu to Shau Kei Wan, and further still to Siu Sai Wan. By chance we meet along the way, even in Tsim Sha Tsui, fate makes us collide."
40,當荃灣愛上柴灣,柴灣站,Chai Wan Station,香港,Hong Kong,22.264634908646800,114.23713899682000,When Tsuen Wan Falls in Love with Chai Wan,Single,陳奕迅,Eason Chan,"陳少琪, Swing, 郭偉亮","Keith Chan/Swing, Eric Kwok",1999,由荃灣直入柴灣終站坐冷板 深深慨嘆能力只會能應付太子站,"From Lok Fu to Shau Kei Wan, and further still to Siu Sai Wan. By chance we meet along the way, even in Tsim Sha Tsui, fate makes us collide."
41,随意门,尖沙咀,Tsim Sha Tsui,香港,Hong Kong,22.298404889363900,114.17234986839700,Random Door,The Line-Up,陳奕迅,Eason Chan,"黃偉文, 佳添","Wyman Wong, Clayton Cheung",2002,出尖沙咀令人太累 世界之最 登上更空虛,"To step out in Tsim Sha Tsui is wearying, at the world’s summit, the emptiness is searing."
42,初會,红棉路,Cotton Tree Dr,香港,Hong Kong,22.277599379703000,114.1594745544920,First Meeting,我本人,吳雨霏,Kary Ng,"林若寧, 偉景云","Riley Lam, Wai King Wan",2011,二月二日 紅棉道初見 看你尷尬紅著一張臉,"February second, on Cotton Tree Drive we met, your blushing face I can’t forget."
43,紅棉路上,紅棉道,Cotton Tree Dr,香港,Hong Kong,22.277599379703000,114.1594745544920,On Cotton Tree Road,BeSIDE Me-你不是一个人,梁詠琪,Gigi Leung,"林若寧, 郭偉亮","Riley Lam, Eric Kwok",2016,等待 等待 等到 紅棉開出花瓣,"Waiting and waiting, till the red cotton blooms."
44,旺角公主,旺角,Mong Kok,香港,Hong Kong,22.31979796873720,114.16950906885000,Mong Kok Princess,一朵金花,莫文蔚,Karen Mok,"孫國華, 伍佰","Sun Kwok Wah, Wu Bai",2001,我四處碰在旺角 我四處跳舞街角,"I wander through Mong Kok, dancing on every street corner."
45,旺角公主,登打士街,Dundas St,香港,Hong Kong,22.315337129011100,114.17024192565700,Mong Kok Princess,一朵金花,莫文蔚,Karen Mok,"孫國華, 伍佰","Sun Kwok Wah, Wu Bai",2001,登打士街的角落 眼淚注視 告白螢幕,"On Dundas St’s corner, where emotions stream, My tears fixate on the confession screen."
46,旺角公主,上海街,Shanghai St,香港,Hong Kong,22.31353787967700,114.16930798332900,Mong Kok Princess,一朵金花,莫文蔚,Karen Mok,"孫國華, 伍佰","Sun Kwok Wah, Wu Bai",2001,上海街自甘墮落 遺棄昨日回望,"Shanghai St drifts into decline, leaving yesterday’s memories behind."
47,東涌日和,東涌站,Tung Chung Station,香港,Hong Kong,22.289532256430100,113.94054987195100,Tung Chung Sunny Day,Natural Shine,Shine,Shine,"陳少琪, Edward Chan, Charles Lee, Ray Lee","Keith Chan, Edward Chan, Charles Lee, Ray Lee",2003,月台在飛走 東京景緻沒有 東涌風景也尚算能獨有,"The platform fades, it’s flying past, no Tokyo skyline here to cast,  but Tung Chung’s view is mine to last."
48,東涌日和,東京,Tokyo,日本,Japan,35.65331509560360,139.76001860202100,Tung Chung Sunny Day,Natural Shine,Shine,Shine,"陳少琪, Edward Chan, Charles Lee, Ray Lee","Keith Chan, Edward Chan, Charles Lee, Ray Lee",2003,月台在飛走 東京景緻沒有 東涌風景也尚算能獨有,"The platform fades, it’s flying past, no Tokyo skyline here to cast,  but Tung Chung’s view is mine to last."
49,時代,樂活街,Broadwood Road,香港,Hong Kong,22.271625879707000,114.18634289682000,Era,時代,古巨基,Leo Ku,"林夕, 謝國維","Albert Leung, Victor Tse",2010,在樂活道上那一對伴侶 如何疲勞仍沉溺工作裡,"On Broadway Road, that pair of lovers, however weary, are still drowned in their work."
50,哥本哈根的另一個我,小美人魚銅像,The Little Mermaid,歐洲,Europe,55.69305211989590,12.599362958078800,My Doppelgänger in Copenhagen,My Doppelgänger in Copenhagen,薛凱琪,Fiona Sit,"黃偉文, AGA江海迦","Wyman Wong, AGA",2021,一晃眼在 另一海港 人魚半裸 遙望對岸 如從前學你哥本哈根 這刻已雪紛飛 然而在老地方不走 也是種勇氣,"In a blink, I’m by another bay, a mermaid stares across the way. As before, I follow you, Copenhagen in the snow. Yet staying in the old place, too, is a kind of courage."
51,哥本哈根的另一個我,旺角,Mong Kok,香港,Hong Kong,22.31979796873720,114.16950906885000,My Doppelgänger in Copenhagen,My Doppelgänger in Copenhagen,薛凱琪,Fiona Sit,"黃偉文, AGA江海迦","Wyman Wong, AGA",2021,而我這裡仍然 像蜘蛛的網 在旺角塞車遙望對岸 連夢也冷藏 早知該 跟你乘夢破浪 但最終 沒遠飛的兇悍,"Still I stay, tangled in this web, in Mong Kok’s jam, I watch the harbour spread. Even dreams are kept on ice, I should’ve gone with you, to chase the tides, but I’ve lost the fire to take to the skies."
52,目黑,東京,Tokyo,日本,Japan,35.6479873053001,139.6991341826390,In the Eyes of Meguro,College,周國賢,Endy Chow,"黃偉文, 周國賢","Wyman Wong, Endy Chow",2009,月下漫步東京同游 遺忘晚上變得越來越冷 黑色眼睛 沿途與你有過一幀風景 但路上 誰也沒名沒姓,"We wandered through Tokyo beneath the moon, forgetting how the night grew colder too soon. Your dark eyes met mine, a fleeting scene, yet on this road, we remain unnamed, unseen."
53,目黑,目黑區,Meguro City,日本,Japan,35.64663420516170,139.71077012891500,In the Eyes of Meguro,College,周國賢,Endy Chow,"黃偉文, 周國賢","Wyman Wong, Endy Chow",2009,坐下在目黑區深宵那個摩斯漢堡店 默默用著雙手談情,"In the midnight hush of a MOS Burger in Meguro, our hands spoke softly of love."
54,再見二丁目,二丁目,Nichome,日本,Japan,35.82024280907930,139.84532834479900,Goodbye Nichome,直觉,楊千嬅,Miriam Yeung,"林夕, 於逸堯","Albert Leung, Yu Yat Yiu",2002,無論於什麼角落 不假設你或會在旁 我也可暢遊異國 放心吃喝,"Wherever I go, I no longer dream you’ll be near. I can still travel the world, carefree with food and cheer."
55,一起去阿拉斯加,阿拉斯加,Alaska,北美,North America,64.63480369820450,-150.87250912104300,Let’s Go to Alaska,優與美,藍奕邦,Pong Nan,藍奕邦,Pong Nan,2013,那是一個 美麗得要 帶淚觀看的天地 既又險峻 卻又貞潔 是人間的驚與奇 世上可會 有份真愛 會共這裡配得起 能值得與我分享 在世的優與美 他總會來 帶著純的愛 一起去看阿拉斯加,"It’s a world so beautiful it brings tears to the eyes, steep yet pure, a wonder of humankind; perhaps there exists a love so true it belongs here, one that could share with me all the beauty of life. He will come with love so pure and high, together we’ll go, to see Alaska side by side."
56,雷克雅未克,雷克雅未克,Reykjavik,歐洲,Europe,64.14619867430740,-21.938619612981500,Reykjavik,雷克雅未克,"麥浚龍","Juno Mak, Endy Chow","黃偉文, 周國賢","Wyman Wong, Endy Chow",2015,冒雪獨自踏故城 北歐式配樂 靈動而冷靜 潛入我 隨身聽 藍鯨在 旋律間低唱 遺孤的心聲,"Through snowy Reykjavik I walk alone, Nordic tunes so cold, yet softly sewn. They slip into my headphones deep, a blue whale hums, an orphan’s heart asleep."
57,雷克雅未克,福島,Fukushima,日本,Japan,37.76115684667760,140.4757813258320,Reykjavik,雷克雅未克,"麥浚龍","Juno Mak, Endy Chow","黃偉文, 周國賢","Wyman Wong, Endy Chow",2015,請你兌現約定 飛到伴我看星 往昔福島名勝 破損中顯神聖,"Keep your promise, fly to me, let’s watch the stars tonight. Fukushima’s ruins glow with sacred light."
58,橫濱別戀,橫濱,Yokohama,日本,Japan,35.43490935309953, 139.64169199459405,Yokohama Love Affair,Love Passion,李蕙敏,Amanda Lee,"陳少琪, 葉健華","Keith Chan, Kin-wah Yip",2008,回憶 回憶橫濱黃街燈 沿海橋邊曾溫柔擁吻 回憶 回憶橫濱仍秋深 曾經和她離開前一吻 到最後聽聞,"Memories, memories, Yokohama’s amber glow; by the seaside bridge our gentle kisses flowed. Memories, memories, autumn lingers low—before she left, one last soft kiss, now rumors whisper what I used to know."
59,橫濱別戀,東京,Tokyo,日本,Japan,35.70008071731253, 139.73743473476256,Yokohama Love Affair,Love Passion,李蕙敏,Amanda Lee,"陳少琪, 葉健華","Keith Chan, Kin-wah Yip",2008,你獨個生活 這東京不再陌生 如常每日每夜過於安份,"You live alone; Tokyo’s no stranger now. Each day and night you bow to habit’s vow."
60,東京百貨,涉谷,Shibuya,日本,Japan,35.65934633543959, 139.70049706795925,Tokyo Department Store,鄭融精選,鄭融,Stephanie Cheng,"陳少琪, 伍仲衡","Keith Chan, Eric Ng",2009,謝謝這涉谷中心 潮流百貨的密林 造就你我的相識 快樂過才能有遺憾,"Thanks, Shibuya’s heartbeat, fashion’s forested aisles; it led our paths to meet and trade our shy smiles. For only after joy’s bright spin can tender, aching regrets begin."
61,墨尔本的翡翠,墨爾本,Melbourne,大洋洲,Oceania,-37.83746864607822, 144.96311980780604,Melbourne Jade,墨爾本的翡翠,林颐,Orange Lam,黃志遠,"Chi-yuen Wong",2001,不管你的人被誰佔據 都請你原諒我 始終帶不到墨爾本的翡翠,"Whoever holds your hand today, forgive my heart’s delay; I could not bring Melbourne’s jade, nor keep the dream we made."
62,世界之最 (我願意),冰島,Iceland,歐洲,Europe,65.17205551197785, -21.277476273809086,I Do,La La La ,鄭秀文,Sammi Cheng,"林嘉恆, 馮家能","Ka-hang Lam, Ka-nang Fung",2015,如果你在冰島裡看見雪落大地 這邊廂的心都結冰 假使間飛機失事墜落深海之中 我都粉碎,"If in Iceland you watch the snow descend, this heart of mine will freeze and fail to mend; and should a falling plane sink in the sea, I’d shatter too—ice-cold debris."
63,帝國大廈,帝國大廈,Empire State Building,北美,North America,40.748504597006274, -73.98553564938815,Empire State Building,Swing For Sale,Swing,Swing,"黃偉文, 郭偉亮","Wyman Wong, Eric Kwok",2001,可知我 情人仍然當你 是世界中心 情人如何看(愛)我 未夠你高分 如何頑強攀登 都只得亞軍,"Could you not see, my love still crowns you queen; the axis of my world, the brightest sheen. However others grade my grinding climb, I strain and scale—still second, every time."
64,搜神記,南極,Antarctica,南極,Antarctica,-81.37399796874513, -40.89756379837495,Searching for Gods,A Time For Us ,容祖兒,Joey Yung,"林夕,澤日生","Albert Leung, Christopher Chak",2009,當初膚淺 得你恩寵似升仙 天有眼 當真糊塗 未曾發覺我該俯瞰南極快沒有冰山,"Once shallow, yet your favor made me rise; heaven had eyes, I floated in the skies. I should have bowed, learned what the cold entails—Antarctica melts, the ancient ice now fails."
65,Lost In L.A.,洛杉磯,Los Angeles,北美,North America,34.043786977514124, -118.32353581195574,Lost In L.A.,Kiss Kiss Kiss,at17,at17,林一峰,Chet Lam,2003,"只差一點點 我會放棄一切留下陪著你 But I can't stay, was almost lost in L.A. Back on my way, was almost lost in L.A.","So close to stay, I’d trade it all for you. But I can't stay, was almost lost in L.A. Back on my way, was almost lost in L.A."
66,撒哈拉,撒哈拉,Sahara Desert,非洲,Africa,24.371322158011292, 14.21702951651296,Sahara,Friends For Life,鄭伊健,Ekin Cheng,"周禮茂, 陳光榮","Lai-Mau Chow, Chan Kwong Wing",2009,如謎一個她 人如謎一個 似撒哈拉一個沙漠 偏要我戀上她,"She is a riddle wrapped in desert air; Sahara’s dunes—her heat, my hungry snare. Against the odds I fall, a thirsty chord, my heart makes idols of the sand it adored."
67,零下幾分鐘,紐約,New York,北美,North America,40.77315118598454, -73.97123671594741,A Few Minutes Below Zero,C'mon in~,陳奕迅,Eason Chan,"易家揚, 藍奕邦","Yee Kar Yeung, Pong Nan",2017,走過地鐵白煙紐約寒冬 走不過 心中的黑洞,"Through subway steam in New York’s winter chill, I walk and walk, the void walks with me still."
68,零下幾分鐘,時代廣場,Times Square,北美,North America,40.75807130657251, -73.98554259220059,A Few Minutes Below Zero,C'mon in~,陳奕迅,Eason Chan,"易家揚, 藍奕邦","Yee Kar Yeung, Pong Nan",2017,零下幾分鐘 時代廣場之中 我數不清的記憶咆哮著 冷風加音樂 是雙倍的折磨,"In minutes below zero, Times Square cries; uncounted memories surge and rise. Cold wind with music cuts a doubled seam, two blades of pain inside the selfsame dream."
69,不如不見,倫敦,London,歐洲,Europe,51.521696330787584, -0.2619986400144903,Better Not to Meet,Solidays,陳奕迅,Eason Chan,"林夕, 陳小霞","Albert Leung, Salsa Chen",2009,頭沾濕 無可避免 倫敦總依戀雨點 乘早機 忍耐著呵欠 完全為見你一面,"Hair wet with rain, inevitable decree; London keeps loving rain more than it loves me. I catch the early flight, stifle a yawn. Only to see you, just before the dawn."
70,Long D,索里,Surrey,歐洲,Europe,51.23849904027667, -0.4426654945306263,Long D,Long D,陳凱泳,JACE,"林若寧, 馮翰銘, 馮允謙","Riley Lam, Alex Fung, Jay Fung",2022,無論你住 索里 伯斯 西雅圖市 你愛我知 談地說天 日日十次 溫馨提示,"Wherever you live, Surrey, Perth, or Seattle, your words each day still keep my heartbeat sound. Ten notes of tender weather, sky, and sun, small gentle proofs our miles can be undone."
